code,name,board_type,subtype,source,cid
885431,新能源汽车,concept,同花顺概念,ths,300008
885566,大飞机,concept,同花顺概念,ths,300013
885623,参股保险,concept,同花顺概念,ths,300018
885603,网络游戏,concept,同花顺概念,ths,300019
885406,食品安全,concept,同花顺概念,ths,300023
885311,智能电网,concept,同花顺概念,ths,300037
885879,流感,concept,同花顺概念,ths,300038
885514,京津冀一体化,concept,同花顺概念,ths,300061
885508,禽流感,concept,同花顺概念,ths,300075
885398,煤化工概念,concept,同花顺概念,ths,300084
885551,氟化工概念,concept,同花顺概念,ths,300085
885827,横琴新区,concept,同花顺概念,ths,300087
885863,磷化工,concept,同花顺概念,ths,300098
885620,参股券商,concept,同花顺概念,ths,300100
885426,海工装备,concept,同花顺概念,ths,300105
885845,生物疫苗,concept,同花顺概念,ths,300106
885537,3D打印,concept,同花顺概念,ths,300127
885555,PM2.5,concept,同花顺概念,ths,300134
885640,草甘膦,concept,同花顺概念,ths,300157
885662,车联网(车路协同),concept,同花顺概念,ths,300163
886036,时空大数据,concept,同花顺概念,ths,300180
885333,移动支付,concept,同花顺概念,ths,300188
885570,期货概念,concept,同花顺概念,ths,300220
885410,固废处理,concept,同花顺概念,ths,300221
886011,光热发电,concept,同花顺概念,ths,300223
885795,国产航母,concept,同花顺概念,ths,300236
885530,黄金概念,concept,同花顺概念,ths,300248
885386,建筑节能,concept,同花顺概念,ths,300261
885587,举牌,concept,同花顺概念,ths,300269
885748,可燃冰,concept,同花顺概念,ths,300277
885376,苹果概念,concept,同花顺概念,ths,300309
885775,燃料电池,concept,同花顺概念,ths,300316
885355,石墨烯,concept,同花顺概念,ths,300337
885572,水利,concept,同花顺概念,ths,300345
885652,钛白粉概念,concept,同花顺概念,ths,300351
885650,碳纤维,concept,同花顺概念,ths,300352
885425,特高压,concept,同花顺概念,ths,300353
885430,天然气,concept,同花顺概念,ths,300358
885412,污水处理,concept,同花顺概念,ths,300374
885312,物联网,concept,同花顺概念,ths,300378
885343,稀土永磁,concept,同花顺概念,ths,300382
885345,新疆振兴,concept,同花顺概念,ths,300386
885372,页岩气,concept,同花顺概念,ths,300402
885362,云计算,concept,同花顺概念,ths,300419
885877,转基因,concept,同花顺概念,ths,300435
885573,猪肉,concept,同花顺概念,ths,300451
885402,智能医疗,concept,同花顺概念,ths,300682
885741,中字头股票,concept,同花顺概念,ths,300704
885774,无线充电,concept,同花顺概念,ths,300723
885710,锂电池概念,concept,同花顺概念,ths,300733
885459,网络安全,concept,同花顺概念,ths,300756
885461,充电桩,concept,同花顺概念,ths,300786
886043,太赫兹,concept,同花顺概念,ths,300795
885423,安防,concept,同花顺概念,ths,300800
885418,文化传媒概念,concept,同花顺概念,ths,300806
885552,小金属概念,concept,同花顺概念,ths,300809
885543,家用电器,concept,同花顺概念,ths,300814
885730,量子科技,concept,同花顺概念,ths,300830
885556,5G,concept,同花顺概念,ths,300843
885428,特钢概念,concept,同花顺概念,ths,300845
885439,土地流转,concept,同花顺概念,ths,300858
885598,新股与次新股,concept,同花顺概念,ths,300870
885427,高端装备,concept,同花顺概念,ths,300890
885540,三胎概念,concept,同花顺概念,ths,300891
885772,语音技术,concept,同花顺概念,ths,300917
885505,生态农业,concept,同花顺概念,ths,300923
885962,土壤修复,concept,同花顺概念,ths,300925
885886,超级电容,concept,同花顺概念,ths,300926
885986,碳交易,concept,同花顺概念,ths,300931
885930,工业母机,concept,同花顺概念,ths,300941
885733,航运概念,concept,同花顺概念,ths,300973
885462,乳业,concept,同花顺概念,ths,300983
885961,净水概念,concept,同花顺概念,ths,301032
885457,手机游戏,concept,同花顺概念,ths,301050
885531,光伏概念,concept,同花顺概念,ths,301079
885756,芯片概念,concept,同花顺概念,ths,301085
885928,钠离子电池,concept,同花顺概念,ths,301096
885580,足球概念,concept,同花顺概念,ths,301100
885967,化肥,concept,同花顺概念,ths,301104
885972,金属回收,concept,同花顺概念,ths,301107
885901,可降解塑料,concept,同花顺概念,ths,301117
885467,特斯拉概念,concept,同花顺概念,ths,301121
885810,大豆,concept,同花顺概念,ths,301123
885472,上海自贸区,concept,同花顺概念,ths,301128
885953,电子纸,concept,同花顺概念,ths,301135
885578,基因测序,concept,同花顺概念,ths,301146
885738,OLED,concept,同花顺概念,ths,301154
885759,人脸识别,concept,同花顺概念,ths,301166
885697,深圳国企改革,concept,同花顺概念,ths,301171
886003,钒电池,concept,同花顺概念,ths,301174
