cid,platecode,name,board_type
300008,885431,新能源汽车,concept
300013,885566,大飞机,concept
300018,885623,参股保险,concept
300019,885603,网络游戏,concept
300023,885406,食品安全,concept
300037,885311,智能电网,concept
300038,885879,流感,concept
300061,885514,京津冀一体化,concept
300075,885508,禽流感,concept
300082,885700,军工,concept
300084,885398,煤化工概念,concept
300085,885551,氟化工概念,concept
300087,885827,横琴新区,concept
300098,885863,磷化工,concept
300100,885620,参股券商,concept
300105,885426,海工装备,concept
300106,885845,生物疫苗,concept
300127,885537,3D打印,concept
300134,885555,PM2.5,concept
300157,885640,草甘膦,concept
300163,885662,车联网(车路协同),concept
300168,885413,创投,concept
300180,886036,时空大数据,concept
300188,885333,移动支付,concept
300200,885641,风电,concept
300220,885570,期货概念,concept
300221,885410,固废处理,concept
300223,886011,光热发电,concept
300236,885795,国产航母,concept
300238,885571,核电,concept
300248,885530,黄金概念,concept
300261,885386,建筑节能,concept
300269,885587,举牌,concept
300277,885748,可燃冰,concept
300309,885376,苹果概念,concept
300316,885775,燃料电池,concept
300337,885355,石墨烯,concept
300345,885572,水利,concept
300351,885652,钛白粉概念,concept
300352,885650,碳纤维,concept
300353,885425,特高压,concept
300358,885430,天然气,concept
300374,885412,污水处理,concept
300378,885312,物联网,concept
300382,885343,稀土永磁,concept
300386,885345,新疆振兴,concept
300402,885372,页岩气,concept
300419,885362,云计算,concept
300435,885877,转基因,concept
300451,885573,猪肉,concept
300642,885378,智慧城市,concept
300682,885402,智能医疗,concept
300704,885741,中字头股票,concept
300722,885574,卫星导航,concept
300723,885774,无线充电,concept
300733,885710,锂电池概念,concept
300756,885459,网络安全,concept
300786,885461,充电桩,concept
300795,886043,太赫兹,concept
300800,885423,安防,concept
300806,885418,文化传媒概念,concept
300809,885552,小金属概念,concept
300814,885543,家用电器,concept
300816,885517,机器人概念,concept
300830,885730,量子科技,concept
300836,885705,乡村振兴,concept
300841,885991,新型城镇化,concept
300843,885556,5G,concept
300845,885428,特钢概念,concept
300858,885439,土地流转,concept
300870,885598,新股与次新股,concept
300889,885564,无人机,concept
300890,885427,高端装备,concept
300891,885540,三胎概念,concept
300917,885772,语音技术,concept
300920,885478,智能家居,concept
300923,885505,生态农业,concept
300925,885962,土壤修复,concept
300926,885886,超级电容,concept
300931,885986,碳交易,concept
300941,885930,工业母机,concept
300973,885733,航运概念,concept
300983,885462,乳业,concept
301016,885946,传感器,concept
301032,885961,净水概念,concept
301050,885457,手机游戏,concept
301079,885531,光伏概念,concept
301085,885756,芯片概念,concept
301096,885928,钠离子电池,concept
301100,885580,足球概念,concept
301104,885967,化肥,concept
301107,885972,金属回收,concept
301117,885901,可降解塑料,concept
301121,885467,特斯拉概念,concept
301123,885810,大豆,concept
301128,885472,上海自贸区,concept
301135,885953,电子纸,concept
301146,885578,基因测序,concept
301154,885738,OLED,concept
301166,885759,人脸识别,concept
301171,885697,深圳国企改革,concept
301174,886003,钒电池,concept
301175,885454,智能穿戴,concept
301179,885502,冷链物流,concept
301209,885456,互联网金融,concept
301223,885497,旅游概念,concept
301227,885480,在线教育,concept
301229,885487,天津自贸区,concept
301236,885617,福建自贸区,concept
301248,885974,两轮车,concept
301252,885838,眼科医疗,concept
301258,886002,机器视觉,concept
301259,885797,百度概念,concept
301270,885835,参股银行,concept
301278,885785,小米概念,concept
301279,885912,有机硅概念,concept
301286,885736,无人驾驶,concept
301292,885633,染料,concept
301306,885706,农机,concept
301346,885490,民营医院,concept
301362,885899,新型烟草(电子烟),concept
301365,885494,一带一路,concept
301377,885814,信托概念,concept
301402,885493,上海国企改革,concept
301424,886052,核污染防治,concept
301455,885742,摘帽,concept
301459,885806,华为概念,concept
301470,885884,航空发动机,concept
301471,885545,汽车电子,concept
301477,885818,工业大麻,concept
301491,885521,粤港澳大湾区,concept
301494,885522,养老概念,concept
301496,885525,白酒概念,concept
301497,885780,啤酒概念,concept
301505,885539,医疗器械概念,concept
301511,885969,金属镍,concept
301518,885562,高铁,concept
301539,885586,职业教育,concept
301541,885591,中韩自贸区,concept
301543,885769,细胞免疫治疗,concept
301558,885611,阿里巴巴概念,concept
301564,885642,跨境电商,concept
301565,885661,医药电商,concept
301572,885811,玉米,concept
301576,885808,养鸡,concept
301577,885973,金属铜,concept
